Pais,Area,poblacion,Namerica,Samerica,Europe,Asia,Oceania,Africa,lat,longitud,Dia_inicio,PIB,Gasto_Salud,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,37
Afghanistan,652230.0,32225560.0,0, 0, 0, 1, 0, 0,33.0,65.0,33,18734.0,0.52,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,7,7,7,11,16,21,22,22,22,24,24,40,40,74,84,94,110,110,120,174
Algeria,2381741.0,43000000.0,0, 0, 0, 0, 0, 1,28.0339,1.6596,34,172781.0,4.5,1,1,1,1,1,1,3,5,12,12,17,17,19,20,20,20,24,26,37,48,54,60,74,87,90,139,201,230,264,302,367,409,454,511,584,847
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,-31.9961875,141.2327875,4,1376255.0,6.41,4,5,5,6,9,9,12,12,12,13,13,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,25,30
Austria,83871.0,8902600.0,0, 0, 1, 0, 0, 0,47.5162,14.5501,34,447718.0,7.72,2,2,3,3,9,14,18,21,29,41,55,79,104,131,182,246,302,504,655,860,1018,1332,1646,2013,2388,2814,3582,4474,5283,5588,6909,7657,8271,8788,9618,10711
Bahrain,778.0,1543300.0,0, 0, 0, 1, 0, 0,26.0275,50.55,33,38184.0,2.99,1,23,33,33,36,41,47,49,49,52,55,60,85,85,95,110,195,195,195,210,214,214,228,256,278,285,305,334,377,392,419,458,466,476,499,567
Belgium,30528.0,11524454.0,0, 0, 1, 0, 0, 0,50.8333,4.0,13,517609.0,8.02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,8,13,23,50,109,169,200,239,314
Cambodia,181035.0,15288489.0,0, 0, 0, 1, 0, 0,11.55,104.9167,5,26730.0,1.33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Canada,9984670.0,37979093.0,1, 0, 0, 0, 0, 0,47.98290714285714,-88.40206428571427,4,1730914.0,7.48,1,1,2,2,2,4,4,4,4,4,5,5,7,7,7,7,7,7,7,7,7,7,8,8,8,8,9,9,9,10,11,11,13,14,20,27
China,9596961.0,1402030160.0,0, 0, 0, 1, 0, 0,32.828384848484845,111.64908181818181,0,14140163.0,2.91,548,643,920,1406,2075,2877,5509,6087,8141,9802,11891,16630,19716,23707,27440,30587,34110,36814,39829,42354,44386,44759,59895,66358,68413,70513,72434,74211,74619,75077,75550,77001,77022,77241,77754,78600
Croatia,56594.0,4076246.0,0, 0, 1, 0, 0, 0,45.1,15.2,34,60702.0,5.62,1,3,3,5,6,7,7,9,10,10,11,12,12,12,14,19,19,32,38,49,57,65,81,105,128,206,254,315,382,442,495,586,657,713,790,963
Egypt,1002450.0,100200135.0,0, 0, 0, 0, 0, 1,26.0,30.0,23,302256.0,1.36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,15,15,49,55,59,60,67,80,109,110,150,196,196,256,294
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,64.0,26.0,7,269654.0,6.84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,6,6,6,12
France,640679.0,67076000.0,0, 0, 1, 0, 0, 0,4.4477199999999995,11.603509999999998,2,2707074.0,9.32,2,3,3,3,4,5,5,5,6,6,6,6,6,6,6,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,14,18,38,100
Germany,357114.0,83149300.0,0, 0, 1, 0, 0, 0,51.0,9.0,5,3863344.0,9.48,1,4,4,4,5,8,10,12,12,12,12,13,13,14,14,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,27,46,48,79,130,196
Guinea-Bissau,36125.0,1604528.0,0, 0, 0, 0, 0, 1,11.8037,-15.1804,225,1458.0,2.69,1,1,1,4,6,6,6,6,9,9,9,12,12,12,12,12,12,15,15,1,1,1,1,1,1,1,1,2,2,4,4,4,4,8,8,22
India,3287263.0,1360537008.0,0, 0, 0, 1, 0, 0,21.0,78.0,8,2935570.0,0.9,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,28,31
Iran,1648195.0,83331064.0,0, 0, 0, 1, 0, 0,32.0,53.0,28,458500.0,4.42,2,5,18,28,43,61,95,139,245,388,593,978,1501,2336,2922,3513,4747,5823,6566,7161,8042,9000,10075,11364,12729,13938,14991,16169,17361,18407,19644,20610,21638,23049,24811,29406
Iraq,438317.0,39127900.0,0, 0, 0, 1, 0, 0,33.0,44.0,33,224462.0,0.7,1,1,5,7,7,13,19,26,32,35,35,40,54,60,60,71,71,71,101,110,116,124,154,164,192,208,214,233,266,316,346,382,458,506,547,694
Israel,20770.0,9180000.0,0, 0, 0, 1, 0, 0,31.0,35.0,30,387717.0,4.76,1,1,1,1,1,2,3,4,7,10,10,12,15,20,37,43,61,61,75,79,100,126,155,213,218,250,304,427,529,712,883,1071,1238,2369,2693,3619
Italy,301339.0,60243406.0,0, 0, 1, 0, 0, 0,43.0,12.0,9,1988636.0,6.54,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,20,62,155,229,322,453,655,888,1128,1694,2036,2502,3089,3858,5883
Japan,377975.0,125950000.0,0, 0, 0, 1, 0, 0,36.0,138.0,0,5154475.0,9.18,2,2,2,2,4,4,7,7,11,15,20,20,20,22,22,22,25,25,26,26,26,28,28,29,43,59,66,74,84,94,105,122,147,159,170,214
Korea South,100210.0,51780579.0,0, 0, 0, 1, 0, 0,36.0,128.0,0,1629532.0,2.99,1,1,2,2,3,4,4,4,4,11,12,15,15,16,19,23,24,24,25,27,28,28,28,28,28,29,30,31,31,104,204,433,602,833,977,1766
Kuwait,17818.0,4420110.0,0, 0, 0, 1, 0, 0,29.5,47.75,33,137591.0,3.27,1,11,26,43,45,45,45,56,56,56,58,58,61,64,64,69,72,80,80,104,112,123,130,142,148,159,176,188,189,191,195,208,225,235,255,289
Lebanon,10452.0,6825442.0,0, 0, 0, 1, 0, 0,33.8547,35.8623,30,58565.0,4.18,1,1,1,1,1,2,2,2,4,10,13,13,13,16,22,22,32,32,41,61,61,77,93,110,110,120,133,157,163,187,248,267,318,333,368,412
Malaysia,330803.0,32737760.0,0, 0, 0, 1, 0, 0,2.5,112.5,3,365303.0,1.92,3,4,4,4,7,8,8,8,8,8,10,12,12,12,16,16,18,18,18,19,19,22,22,22,22,22,22,22,22,22,22,22,22,23,23,29
Nepal,147181.0,29996478.0,0, 0, 0, 1, 0, 0,28.1667,84.25,3,29813.0,1.17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nigeria,923768.0,206139587.0,0, 0, 0, 0, 0, 1,9.082,8.6753,95,446543.0,0.47,1,1,2,3,3,7,10,10,10,18,27,27,74,98,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,8,8,22
Oman,309500.0,4664790.0,0, 0, 0, 1, 0, 0,21.0,57.0,33,76609.0,3.83,2,2,4,4,4,6,6,6,12,15,16,16,16,16,16,18,18,18,19,19,22,22,24,39,48,48,52,55,66,84,99,109,131,152,167,192
Philippines,300000.0,108486472.0,0, 0, 0, 1, 0, 0,13.0,122.0,8,356814.0,1.38,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5
Russia,17098246.0,146745098.0,0, 0, 1, 0, 0, 0,60.0,90.0,9,1637892.0,3.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,13
Singapore,716.0,5703600.0,0, 0, 0, 1, 0, 0,1.2833,103.8333,1,362818.0,2.44,1,3,3,4,5,7,7,10,13,16,18,18,24,28,28,30,33,40,45,47,50,58,67,72,75,77,81,84,84,85,85,89,89,91,93,93
Spain,505992.0,47100396.0,0, 0, 1, 0, 0, 0,40.0,-4.0,10,1397870.0,6.24,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,13,15,32,45,84,120,165,222,259,400,673
Sri Lanka,65610.0,21803000.0,0, 0, 0, 1, 0, 0,7.0,81.0,5,86566.0,1.68,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sweden,450295.0,10333456.0,0, 0, 1, 0, 0, 0,63.0,16.0,9,528929.0,9.26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,7,7,12,14,15,21,35,94,161
Switzerland,41284.0,8586550.0,0, 0, 1, 0, 0, 0,46.8182,8.2275,34,715360.0,7.76,1,1,8,8,18,27,42,56,90,114,214,268,337,374,491,652,652,1139,1359,2200,2200,2700,3028,4075,5294,6575,7474,8795,9877,10897,11811,12928,14076,14829,15922,17768
Thailand,513120.0,66488605.0,0, 0, 0, 1, 0, 0,15.0,101.0,0,529177.0,2.9,2,3,5,7,8,8,14,14,14,19,19,19,19,25,25,25,25,32,32,32,33,33,33,33,33,34,35,35,35,35,35,35,35,35,37,40
United Arab Emirates,83600.0,9890400.0,0, 0, 0, 1, 0, 0,24.0,54.0,7,405771.0,2.55,4,4,4,4,5,5,5,5,5,5,7,7,8,8,8,8,8,8,9,9,9,9,9,9,13,13,13,13,13,13,19,21,21,21,27,29
United Kingdom,242495.0,66435550.0,0, 0, 1, 0, 0, 0,32.18262,-42.34011,9,2743586.0,7.53,2,2,2,2,2,2,2,3,3,3,8,8,9,9,9,9,9,9,9,9,9,9,9,9,13,13,13,15,20,23,36,40,51,86,116,207
US,9525067.0,329556365.0,1, 0, 0, 0, 0, 0,37.0902,-95.7129,0,21439453.0,14.32,1,1,2,2,5,5,5,5,5,7,8,8,11,11,11,11,11,11,11,11,12,12,13,13,13,13,13,13,13,13,15,15,15,51,51,58
Vietnam,331212.0,96208984.0,0, 0, 0, 1, 0, 0,16.0,108.0,1,261637.0,2.68,2,2,2,2,2,2,2,2,2,6,6,8,8,8,10,10,13,13,14,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Dominica,751.0,71808.0,1, 0, 0, 0, 0, 0,15.415,-61.371,99,593.0,3.41,1,1,1,1,1,2,2,5,5,5,5,5,5,11,11,11,21,21,34,72,112,202,245,312,392,488,581,719,859,901,1109,1284,1380,1,2,7
