Pais,Area,poblacion,Namerica,Samerica,Europe,Asia,Oceania,Africa,lat,longitud,Dia_inicio,PIB,Gasto_Salud,1,2,3,4,6
Afghanistan,652230.0,32225560.0,0, 0, 0, 1, 0, 0,33.0,65.0,33,18734.0,0.52,1,1,1,1,1
Albania,28748.0,2845955.0,0, 0, 1, 0, 0, 0,41.1533,20.1683,47,15418.0,2.77,2,10,12,23,38
Algeria,2381741.0,43000000.0,0, 0, 0, 0, 0, 1,28.0339,1.6596,34,172781.0,4.5,1,1,1,1,1
Angola,1246700.0,31127674.0,0, 0, 0, 0, 0, 1,-11.2027,17.8739,58,91527.0,1.27,1,2,2,3,3
Andorra,468.0,77543.0,0, 0, 1, 0, 0, 0,42.5063,1.5218,40,3237.0,5.09,1,1,1,1,1
Antigua and Barbuda,442.0,96453.0,1, 0, 0, 0, 0, 0,17.0608,-61.7964,51,1688.0,2.61,1,1,1,1,1
Argentina,2780400.0,44938712.0,0, 1, 0, 0, 0, 0,-38.4161,-63.6167,41,445469.0,5.62,1,1,1,2,12
Armenia,29743.0,2957500.0,0, 0, 0, 1, 0, 0,40.0691,45.0382,39,13444.0,1.63,1,1,1,1,1
Australia,7692024.0,25665337.0,0, 0, 0, 0, 1, 0,-31.9961875,141.2327875,4,1376255.0,6.41,4,5,5,6,9
Austria,83871.0,8902600.0,0, 0, 1, 0, 0, 0,47.5162,14.5501,34,447718.0,7.72,2,2,3,3,14
Azerbaijan,86600.0,10067108.0,0, 0, 0, 1, 0, 0,40.1431,47.5769,39,47171.0,1.38,3,3,3,3,6
Bahamas,13943.0,385340.0,1, 0, 0, 0, 0, 0,25.0343,-77.3963,54,12664.0,3.18,1,1,1,3,4
Bahrain,778.0,1543300.0,0, 0, 0, 1, 0, 0,26.0275,50.55,33,38184.0,2.99,1,23,33,33,41
Bangladesh,147570.0,168371920.0,0, 0, 0, 1, 0, 0,23.685,90.3563,46,317465.0,0.42,3,3,3,3,3
Barbados,430.0,287025.0,1, 0, 0, 0, 0, 0,13.1939,-59.5432,55,5189.0,3.19,2,2,5,5,14
Belarus,207600.0,9413446.0,0, 0, 1, 0, 0, 0,53.7098,27.9534,37,62572.0,3.88,1,1,1,1,6
Belgium,30528.0,11524454.0,0, 0, 1, 0, 0, 0,50.8333,4.0,13,517609.0,8.02,1,1,1,1,1
Benin,114763.0,11733059.0,0, 0, 0, 0, 0, 1,9.3077,2.3158,54,14374.0,0.79,1,1,2,2,2
Bhutan,38394.0,741672.0,0, 0, 0, 1, 0, 0,27.5142,90.4336,44,2842.0,2.55,1,1,1,1,1
Bolivia,1098581.0,11469896.0,0, 1, 0, 0, 0, 0,-16.2902,-63.5887,49,42401.0,4.51,2,2,3,10,11
Bosnia and Herzegovina,51209.0,3301000.0,0, 0, 1, 0, 0, 0,43.9159,17.6791,43,20106.0,6.53,2,2,3,3,5
Brazil,8515767.0,211336713.0,0, 1, 0, 0, 0, 0,-14.235,-51.9253,35,1847020.0,3.96,1,1,1,2,2
Brunei,5765.0,442400.0,0, 0, 0, 1, 0, 0,4.5353,114.7277,47,12455.0,2.22,1,1,11,11,40
Bulgaria,111002.0,7000039.0,0, 0, 1, 0, 0, 0,42.7339,25.4858,46,66250.0,4.16,4,4,4,7,23
Burkina Faso,274222.0,20870060.0,0, 0, 0, 0, 0, 1,12.2383,-1.5616,48,14593.0,2.71,1,2,2,2,3
Cabo Verde,4033.0,550483.0,0, 0, 0, 0, 0, 1,16.5388,-23.0418,58,1987.0,2.97,1,3,3,3,4
Cambodia,181035.0,15288489.0,0, 0, 0, 1, 0, 0,11.55,104.9167,5,26730.0,1.33,1,1,1,1,1
Cameroon,475442.0,26545864.0,0, 0, 0, 0, 0, 1,3.848,11.5021,44,38632.0,0.63,1,1,2,2,2
Canada,9984670.0,37979093.0,1, 0, 0, 0, 0, 0,47.98290714285714,-88.40206428571427,4,1730914.0,7.48,1,1,2,2,4
Central African Republic,622984.0,5496011.0,0, 0, 0, 0, 0, 1,6.6111,20.9394,53,2321.0,0.64,1,1,1,1,3
Chad,1284000.0,16244513.0,0, 0, 0, 0, 0, 1,15.4542,18.7322,57,11026.0,0.86,1,1,1,1,3
Chile,756102.0,19107216.0,0, 1, 0, 0, 0, 0,-35.6751,-71.543,41,294237.0,5.2,1,1,4,4,8
China,9596961.0,1402030160.0,0, 0, 0, 1, 0, 0,32.828384848484845,111.64908181818181,0,14140163.0,2.91,548,643,920,1406,2877
Colombia,1141748.0,49395678.0,0, 1, 0, 0, 0, 0,4.5709,-74.2973,44,327895.0,5.31,1,1,1,1,9
Congo (Brazzaville),342000.0,5518092.0,0, 0, 0, 0, 0, 1,-4.0383,21.7587,53,11576.0,1.96,1,1,1,1,3
Congo (Kinshasa),2344858.0,89561404.0,0, 0, 0, 0, 0, 1,-4.0383,21.7587,49,48994.0,0.47,1,1,2,2,2
Costa Rica,51100.0,5058007.0,1, 0, 0, 0, 0, 0,9.7489,-83.7534,44,61021.0,5.66,1,1,5,9,13
Cote d'Ivoire,322463.0,25823071.0,0, 0, 0, 0, 0, 1,7.54,-5.5471,49,44439.0,1.13,1,1,1,1,1
Croatia,56594.0,4076246.0,0, 0, 1, 0, 0, 0,45.1,15.2,34,60702.0,5.62,1,3,3,5,7
Cuba,109884.0,11209628.0,1, 0, 0, 0, 0, 0,22.0,-80.0,50,100023.0,10.92,3,4,4,4,5
Cyprus,9251.0,875900.0,0, 0, 0, 1, 0, 0,35.1264,33.4299,47,24280.0,2.9,2,3,6,6,26
Czechia,78865.0,10693939.0,0, 0, 1, 0, 0, 0,49.8175,15.473,39,246953.0,6.21,3,3,5,8,18
Denmark,43094.0,5822763.0,0, 0, 1, 0, 0, 0,63.287800000000004,-13.338100000000003,36,347176.0,8.84,1,1,3,4,6
Djibouti,23200.0,1078373.0,0, 0, 0, 0, 0, 1,11.8251,42.5903,56,3166.0,1.6,1,1,1,1,3
Dominican Republic,48671.0,10358320.0,1, 0, 0, 0, 0, 0,18.7357,-70.1627,39,89475.0,2.82,1,1,1,1,2
Ecuador,276841.0,17456724.0,0, 1, 0, 0, 0, 0,-1.8312,-78.1834,39,107914.0,4.29,6,6,7,10,13
Egypt,1002450.0,100200135.0,0, 0, 0, 0, 0, 1,26.0,30.0,23,302256.0,1.36,1,1,1,1,1
El Salvador,21041.0,6486201.0,1, 0, 0, 0, 0, 0,13.7942,-88.8965,57,26871.0,4.49,1,1,3,3,5
Equatorial Guinea,28051.0,1358276.0,0, 0, 0, 0, 0, 1,1.5,10.0,53,12142.0,0.79,1,1,1,4,6
Eritrea,117600.0,3497117.0,0, 0, 0, 0, 0, 1,15.1794,39.7823,59,2110.0,0.86,1,1,1,1,6
Estonia,45227.0,1328360.0,0, 0, 1, 0, 0, 0,58.5953,25.0136,36,31038.0,4.85,1,1,1,1,2
Eswatini,17364.0,1093238.0,0, 0, 0, 0, 0, 1,-26.5225,31.4659,52,4657.0,5.33,1,1,1,1,1
Ethiopia,1104300.0,98665000.0,0, 0, 0, 0, 0, 1,9.145,40.4897,51,91166.0,1.1,1,1,1,5,6
Fiji,18272.0,884887.0,0, 0, 0, 0, 1, 0,-17.7134,178.065,57,5708.0,2.21,1,1,1,2,4
Finland,338424.0,5527573.0,0, 0, 1, 0, 0, 0,64.0,26.0,7,269654.0,6.84,1,1,1,1,1
France,640679.0,67076000.0,0, 0, 1, 0, 0, 0,4.4477199999999995,11.603509999999998,2,2707074.0,9.32,2,3,3,3,5
Gabon,267668.0,2172579.0,0, 0, 0, 0, 0, 1,-0.8037,11.6094,52,16877.0,2.01,1,1,1,1,1
Gambia,11295.0,2347706.0,0, 0, 0, 0, 0, 1,13.4432,-15.3101,55,1773.0,0.82,1,1,1,1,1
Georgia,69700.0,3723464.0,0, 0, 0, 1, 0, 0,42.3154,43.3569,35,15925.0,3.08,1,1,1,1,3
Germany,357114.0,83149300.0,0, 0, 1, 0, 0, 0,51.0,9.0,5,3863344.0,9.48,1,4,4,4,8
Ghana,238533.0,30280811.0,0, 0, 0, 0, 0, 1,7.9465,-1.0232,52,67077.0,1.71,3,6,6,7,11
Greece,131957.0,10724599.0,0, 0, 1, 0, 0, 0,39.0742,21.8243,35,214012.0,4.73,1,3,4,4,7
Guatemala,108889.0,16604026.0,1, 0, 0, 0, 0, 0,15.7835,-90.2308,52,81318.0,2.17,1,1,2,6,9
Guinea-Bissau,36125.0,1604528.0,0, 0, 0, 0, 0, 1,11.8037,-15.1804,225,1458.0,2.69,1,1,1,4,6
Guyana,214969.0,782766.0,0, 1, 0, 0, 0, 0,5.0,-58.75,50,4121.0,2.5,1,1,1,4,7
Haiti,27750.0,11577779.0,1, 0, 0, 0, 0, 0,18.9712,-72.2852,58,8819.0,0.83,2,2,2,6,8
Honduras,112492.0,9158345.0,1, 0, 0, 0, 0, 0,15.2,-86.2419,49,24449.0,3.86,2,2,2,2,6
Hungary,93028.0,9772756.0,0, 0, 1, 0, 0, 0,47.1625,19.5033,42,170407.0,4.64,2,2,2,4,9
Iceland,103000.0,364260.0,0, 0, 1, 0, 0, 0,64.9631,-19.0208,37,23918.0,6.85,1,1,3,6,26
India,3287263.0,1360537008.0,0, 0, 0, 1, 0, 0,21.0,78.0,8,2935570.0,0.9,1,1,1,2,3
Indonesia,1910931.0,266911900.0,0, 0, 0, 1, 0, 0,-0.7893,113.9213,40,1111713.0,1.42,2,2,2,2,4
Iran,1648195.0,83331064.0,0, 0, 0, 1, 0, 0,32.0,53.0,28,458500.0,4.42,2,5,18,28,61
Iraq,438317.0,39127900.0,0, 0, 0, 1, 0, 0,33.0,44.0,33,224462.0,0.7,1,1,5,7,13
Ireland,70273.0,4921500.0,0, 0, 1, 0, 0, 0,53.1424,-7.6921,38,384940.0,5.27,1,1,1,2,6
Israel,20770.0,9180000.0,0, 0, 0, 1, 0, 0,31.0,35.0,30,387717.0,4.76,1,1,1,1,2
Italy,301339.0,60243406.0,0, 0, 1, 0, 0, 0,43.0,12.0,9,1988636.0,6.54,2,2,2,2,2
Jamaica,10991.0,2726667.0,1, 0, 0, 0, 0, 0,18.1096,-77.2975,49,15702.0,3.68,1,2,8,8,10
Japan,377975.0,125950000.0,0, 0, 0, 1, 0, 0,36.0,138.0,0,5154475.0,9.18,2,2,2,2,4
Jordan,89342.0,10649396.0,0, 0, 0, 1, 0, 0,31.24,36.51,41,44172.0,3.46,1,1,1,1,1
Kazakhstan,2724900.0,18674472.0,0, 0, 0, 1, 0, 0,48.0196,66.9237,51,170326.0,2.07,4,6,9,10,35
Kenya,580367.0,47564296.0,0, 0, 0, 0, 0, 1,-0.0236,37.9062,51,98607.0,1.65,1,1,3,3,3
Korea South,100210.0,51780579.0,0, 0, 0, 1, 0, 0,36.0,128.0,0,1629532.0,2.99,1,1,2,2,4
Kuwait,17818.0,4420110.0,0, 0, 0, 1, 0, 0,29.5,47.75,33,137591.0,3.27,1,11,26,43,45
Kyrgyzstan,199951.0,6533500.0,0, 0, 0, 1, 0, 0,41.2044,74.7661,56,8261.0,2.59,3,3,6,14,16
Latvia,64559.0,1906800.0,0, 0, 1, 0, 0, 0,56.8796,24.6032,40,35045.0,3.37,1,1,1,1,1
Lebanon,10452.0,6825442.0,0, 0, 0, 1, 0, 0,33.8547,35.8623,30,58565.0,4.18,1,1,1,1,2
Liberia,111369.0,4475353.0,0, 0, 0, 0, 0, 1,6.4281,-9.4295,54,3221.0,1.37,1,1,2,2,3
Lithuania,65300.0,2793471.0,0, 0, 1, 0, 0, 0,55.1694,23.8813,37,53641.0,4.53,1,1,1,1,1
Luxembourg,2586.0,613894.0,0, 0, 1, 0, 0, 0,49.8153,6.1296,38,69453.0,4.54,1,1,1,1,1
Madagascar,587041.0,26251309.0,0, 0, 0, 0, 0, 1,-18.7669,46.8691,58,12550.0,2.86,3,3,3,12,19
Malaysia,330803.0,32737760.0,0, 0, 0, 1, 0, 0,2.5,112.5,3,365303.0,1.92,3,4,4,4,8
Maldives,300.0,374775.0,0, 0, 0, 1, 0, 0,3.2028,73.2207,46,5786.0,7.7,4,4,6,8,9
Malta,316.0,493559.0,0, 0, 1, 0, 0, 0,35.9375,14.3754,45,14859.0,5.87,3,3,3,5,6
Mauritania,1030700.0,4077347.0,0, 0, 0, 0, 0, 1,21.0079,10.9408,52,5651.0,1.55,1,1,1,1,2
Mauritius,2040.0,1265985.0,0, 0, 0, 0, 0, 1,-20.2,57.5,56,14391.0,2.53,3,3,12,14,36
Moldova,33846.0,2681735.0,0, 0, 1, 0, 0, 0,47.4116,28.3699,46,11688.0,4.38,1,1,3,3,6
Monaco,2.02,38300.0,0, 0, 1, 0, 0, 0,43.7333,7.4167,38,6400.0,1.39,1,1,1,1,1
Mongolia,1564110.0,3310591.0,0, 0, 0, 1, 0, 0,46.8625,103.8467,48,13637.0,2.16,1,1,1,1,1
Montenegro,13812.0,622359.0,0, 0, 1, 0, 0, 0,42.5,19.3,55,5424.0,5.73,2,2,3,14,21
Morocco,446550.0,35856703.0,0, 0, 0, 0, 0, 1,31.7917,-7.0926,40,119040.0,2.74,1,1,1,2,2
Namibia,825615.0,2458936.0,0, 0, 0, 0, 0, 1,-22.9576,18.4904,52,14368.0,5.65,2,2,2,2,3
Nepal,147181.0,29996478.0,0, 0, 0, 1, 0, 0,28.1667,84.25,3,29813.0,1.17,1,1,1,1,1
Netherlands,41850.0,17451031.0,0, 0, 1, 0, 0, 0,21.40834,-53.00556,36,902355.0,8.16,1,1,6,10,24
New Zealand,270467.0,4974995.0,0, 0, 0, 0, 1, 0,-40.9006,174.886,37,204671.0,7.4,1,1,1,1,3
Nicaragua,130373.0,6460411.0,1, 0, 0, 0, 0, 0,12.8654,-85.2072,57,12528.0,5.37,1,1,2,2,2
Nigeria,923768.0,206139587.0,0, 0, 0, 0, 0, 1,9.082,8.6753,95,446543.0,0.47,1,1,2,3,7
Nigeria,923768.0,206139587.0,0, 0, 0, 0, 0, 1,9.082,8.6753,37,446543.0,0.47,1,1,1,1,1
North Macedonia,25713.0,2077132.0,0, 0, 1, 0, 0, 0,41.6086,21.7453,35,12672.0,4.03,1,1,1,1,1
Norway,323802.0,5367580.0,0, 0, 1, 0, 0, 0,60.472,8.4689,35,417627.0,8.7,1,1,6,15,25
Oman,309500.0,4664790.0,0, 0, 0, 1, 0, 0,21.0,57.0,33,76609.0,3.83,2,2,4,4,6
Pakistan,907132.0,219148520.0,0, 0, 0, 1, 0, 0,30.3753,69.3451,35,284214.0,0.77,2,2,2,4,4
Panama,75417.0,4218808.0,1, 0, 0, 0, 0, 0,8.538,-80.7821,48,68536.0,4.76,1,8,11,27,43
Papua New Guinea,462840.0,8935000.0,0, 0, 0, 0, 1, 0,-6.315,143.9555,58,23587.0,1.38,1,1,1,1,1
Paraguay,406752.0,7152703.0,0, 1, 0, 0, 0, 0,-23.4425,-58.4438,46,40714.0,4.14,1,1,1,5,6
Peru,1285216.0,32131400.0,0, 1, 0, 0, 0, 0,-9.19,-75.0152,44,228989.0,3.3,1,1,6,7,11
Philippines,300000.0,108486472.0,0, 0, 0, 1, 0, 0,13.0,122.0,8,356814.0,1.38,1,1,1,2,2
Poland,312696.0,38379000.0,0, 0, 1, 0, 0, 0,51.9194,19.1451,42,565854.0,4.51,1,1,5,5,16
Portugal,92090.0,10276617.0,0, 0, 1, 0, 0, 0,39.3999,-8.2245,40,236408.0,6.05,2,2,5,8,20
Qatar,11586.0,2747282.0,0, 0, 0, 1, 0, 0,25.3548,51.1839,38,191849.0,2.51,1,3,3,7,8
Romania,238397.0,19405156.0,0, 0, 1, 0, 0, 0,45.9432,24.9668,35,243698.0,3.89,1,1,3,3,3
Russia,17098246.0,146745098.0,0, 0, 1, 0, 0, 0,60.0,90.0,9,1637892.0,3.0,2,2,2,2,2
Rwanda,26338.0,12374397.0,0, 0, 0, 0, 0, 1,-1.9403,29.8739,52,10209.0,2.29,1,1,5,7,8
Saint Lucia,616.0,178696.0,1, 0, 0, 0, 0, 0,13.9094,-60.9789,52,1992.0,2.23,1,2,2,2,2
Saint Vincent and the Grenadines,389.0,110608.0,1, 0, 0, 0, 0, 0,12.9843,-61.2872,52,813.0,2.73,1,1,1,1,1
San Marino,61.0,33574.0,0, 0, 1, 0, 0, 0,43.9424,12.4578,36,1591.0,5.14,1,1,1,1,10
Saudi Arabia,2149690.0,34218169.0,0, 0, 0, 1, 0, 0,24.0,45.0,40,779289.0,3.89,1,1,1,5,5
Senegal,196722.0,16209125.0,0, 0, 0, 0, 0, 1,14.4974,-14.4524,40,23940.0,1.91,1,2,4,4,4
Serbia,88361.0,6963764.0,0, 0, 1, 0, 0, 0,44.0165,21.0059,44,51523.0,5.3,1,1,1,1,12
Seychelles,452.0,97625.0,0, 0, 0, 0, 0, 1,-4.6796,55.492,52,1644.0,3.78,2,2,3,4,6
Singapore,716.0,5703600.0,0, 0, 0, 1, 0, 0,1.2833,103.8333,1,362818.0,2.44,1,3,3,4,7
Slovakia,49037.0,5456362.0,0, 0, 1, 0, 0, 0,48.669,19.699,44,106552.0,5.39,1,1,3,3,10
Slovenia,20273.0,2094060.0,0, 0, 1, 0, 0, 0,46.1512,14.9955,43,54154.0,5.8,2,7,7,16,31
Somalia,637657.0,15893219.0,0, 0, 0, 0, 0, 1,5.1521,46.1996,54,4958.0,1.26,1,1,1,1,1
South Africa,1221037.0,58775022.0,0, 0, 0, 0, 0, 1,-30.5595,22.9375,43,358839.0,3.47,1,1,1,3,7
Spain,505992.0,47100396.0,0, 0, 1, 0, 0, 0,40.0,-4.0,10,1397870.0,6.24,1,1,1,1,1
Sri Lanka,65610.0,21803000.0,0, 0, 0, 1, 0, 0,7.0,81.0,5,86566.0,1.68,1,1,1,1,1
Sudan,1861484.0,42393140.0,0, 0, 0, 0, 0, 1,12.8628,30.2176,51,30873.0,1.1,1,1,1,1,2
Suriname,163820.0,581372.0,0, 1, 0, 0, 0, 0,3.9193,-56.0278,52,3774.0,4.21,1,1,1,1,1
Sweden,450295.0,10333456.0,0, 0, 1, 0, 0, 0,63.0,16.0,9,528929.0,9.26,1,1,1,1,1
Switzerland,41284.0,8586550.0,0, 0, 1, 0, 0, 0,46.8182,8.2275,34,715360.0,7.76,1,1,8,8,27
Tanzania,945087.0,55890747.0,0, 0, 0, 0, 0, 1,-6.369,34.8888,54,62224.0,1.68,1,1,3,6,6
Thailand,513120.0,66488605.0,0, 0, 0, 1, 0, 0,15.0,101.0,0,529177.0,2.9,2,3,5,7,8
Togo,56785.0,7538000.0,0, 0, 0, 0, 0, 1,8.6195,0.8248,44,5502.0,1.33,1,1,1,1,1
Trinidad and Tobago,5130.0,1363985.0,1, 0, 0, 0, 0, 0,10.6918,-61.2225,52,22607.0,3.44,2,2,4,5,9
Tunisia,163610.0,11722038.0,0, 0, 0, 0, 0, 1,34.0,9.0,42,38732.0,3.94,1,1,1,1,2
Turkey,783562.0,83154997.0,0, 0, 0, 1, 0, 0,38.9637,35.2433,49,743708.0,3.26,1,1,5,5,18
Uganda,241550.0,40299300.0,0, 0, 0, 0, 0, 1,1.0,32.0,59,30666.0,1.02,1,1,9,9,14
Ukraine,603500.0,41879904.0,0, 0, 1, 0, 0, 0,48.3794,31.1656,41,150401.0,2.85,1,1,1,1,1
United Arab Emirates,83600.0,9890400.0,0, 0, 0, 1, 0, 0,24.0,54.0,7,405771.0,2.55,4,4,4,4,5
United Kingdom,242495.0,66435550.0,0, 0, 1, 0, 0, 0,32.18262,-42.34011,9,2743586.0,7.53,2,2,2,2,2
Uruguay,176215.0,3518552.0,0, 1, 0, 0, 0, 0,-32.5228,-55.7658,52,59918.0,6.5,4,4,8,29,79
US,9525067.0,329556365.0,1, 0, 0, 0, 0, 0,37.0902,-95.7129,0,21439453.0,14.32,1,1,2,2,5
Uzbekistan,447400.0,34103739.0,0, 0, 0, 1, 0, 0,41.3775,64.5853,53,60490.0,2.92,1,6,10,15,33
Venezuela,916445.0,32219521.0,0, 1, 0, 0, 0, 0,6.4238,-66.5897,52,70140.0,0.77,2,10,17,33,42
Vietnam,331212.0,96208984.0,0, 0, 0, 1, 0, 0,16.0,108.0,1,261637.0,2.68,2,2,2,2,2
Zambia,752612.0,17885422.0,0, 0, 0, 0, 0, 1,-15.4167,28.2833,56,23946.0,1.71,2,2,2,2,3
Zimbabwe,390757.0,15159624.0,0, 0, 0, 0, 0, 1,-20.0,30.0,58,12818.0,4.38,1,3,3,3,3
Dominica,751.0,71808.0,1, 0, 0, 0, 0, 0,15.415,-61.371,99,593.0,3.41,1,1,1,1,2
Grenada,344.0,112003.0,1, 0, 0, 0, 0, 0,12.1165,-61.679,60,1238.0,2.17,1,1,1,1,7
Mozambique,801590.0,30066648.0,0, 0, 0, 0, 0, 1,-18.665695,35.529562,60,15093.0,2.7,1,1,3,5,7
Syria,185180.0,17500657.0,0, 0, 0, 1, 0, 0,34.802075,38.99681500000001,60,60043.0,1.61,1,1,1,5,5
Timor-Leste,14919.0,1387149.0,0, 0, 0, 1, 0, 0,-8.874217,125.727539,60,2938.0,2.24,1,1,1,1,1
Belize,22966.0,408487.0,1, 0, 0, 0, 0, 0,13.1939,-59.5432,61,2001.0,4.06,1,1,2,2,2
Laos,236800.0,7123205.0,0, 0, 0, 1, 0, 0,19.85627,102.495496,62,19127.0,0.76,2,3,6,6,8
Libya,1759540.0,6871287.0,0, 0, 0, 0, 0, 1,26.3351,17.228331,62,33018.0,3.83,1,1,1,1,8
Guinea-Bissau,36125.0,1604528.0,0, 0, 0, 0, 0, 1,11.8037,-15.1804,63,1458.0,2.69,2,2,2,2,8
Mali,1240192.0,19973000.0,0, 0, 0, 0, 0, 1,17.570692,-3.996166000000001,63,17647.0,1.21,2,4,11,18,25
Saint Kitts and Nevis,261.0,52823.0,1, 0, 0, 0, 0, 0,17.357822,-62.782998,63,1032.0,2.45,2,2,2,2,7
Burma,676578.0,54339766.0,0, 0, 0, 1, 0, 0,21.9162,95.956,65,65994.0,1.02,8,8,10,14,15
